skill,category
Know Your Customer,Banking
AML,Banking
Anti Money Laundering,Banking
Fraud Detection,Banking
Fraud Prevention,Banking
Payment Processing,Banking
FinTech,Finance
Financial Technology,Finance

Sales,Sales
Sales Management,Sales
Sales Strategy,Sales
Business Development,Sales
Business Development Strategy,Sales
Lead Generation,Sales
Lead Qualification,Sales
Prospecting,Sales
Cold Calling,Sales
Cold Emailing,Sales
Inside Sales,Sales
Field Sales,Sales
B2B Sales,Sales
B2C Sales,Sales
Enterprise Sales,Sales
Consultative Selling,Sales
Solution Selling,Sales
Account Management,Sales
Key Account Management,Sales
Relationship Management,Sales
Customer Relationship Management,Sales
CRM,Sales
Salesforce,Sales
HubSpot CRM,Sales
Zoho CRM,Sales
Microsoft Dynamics CRM,Sales
Pipeline Management,Sales
Sales Forecasting,Sales
Sales Analytics,Sales
Sales Reporting,Sales
Revenue Management,Sales
Revenue Growth,Sales
Negotiation,Sales
Deal Closing,Sales
Upselling,Sales
Cross Selling,Sales
Customer Acquisition,Sales
Customer Retention,Sales
Customer Success,Customer Success
Customer Success Management,Customer Success
Customer Onboarding,Customer Success
Customer Experience,Customer Success
Customer Support,Customer Success
Client Relationship Management,Customer Success
Client Servicing,Customer Success
Technical Sales,Sales
Solution Consulting,Sales
Pre Sales,Sales
Sales Operations,Sales
Sales Enablement,Sales
Channel Sales,Sales
Partner Management,Sales
Vendor Management,Sales
Territory Management,Sales
Market Expansion,Sales
Go To Market Strategy,Sales
GTM Strategy,Sales
Product Demonstration,Sales
Presentation Skills,Sales
Communication,Sales
Public Speaking,Sales


Human Resource Management,Human Resources
Human Resources,Human Resources
HR Management,Human Resources
HR Operations,Human Resources
HR Administration,Human Resources
Talent Management,Human Resources
Talent Acquisition,Recruitment
Recruitment,Recruitment
Technical Recruitment,Recruitment
IT Recruitment,Recruitment
Campus Recruitment,Recruitment
Executive Recruitment,Recruitment
Recruitment Strategy,Recruitment
Candidate Sourcing,Recruitment
Candidate Screening,Recruitment
Interviewing,Recruitment
Technical Interviewing,Recruitment
Behavioral Interviewing,Recruitment
Interview Coordination,Recruitment
Employee Onboarding,Human Resources
Employee Offboarding,Human Resources
Employee Engagement,Human Resources
Employee Relations,Human Resources
Employee Experience,Human Resources
Performance Management,Human Resources
Performance Appraisal,Human Resources
Learning and Development,Human Resources
Training and Development,Human Resources
Training Needs Analysis,Human Resources
Career Development,Human Resources
Compensation and Benefits,Human Resources
Payroll Management,Human Resources
Payroll Processing,Human Resources
HR Analytics,Human Resources
People Analytics,Human Resources
Workforce Planning,Human Resources
Workforce Management,Human Resources
HR Reporting,Human Resources
HR Policies,Human Resources
HR Compliance,Human Resources
Labor Law,Human Resources
Employment Law,Human Resources
Employee Relations Management,Human Resources
Conflict Resolution,Human Resources
Organizational Development,Human Resources
Organizational Behavior,Human Resources
Change Management,Human Resources
HR Information Systems,Human Resources
HRIS,Human Resources
Workday,Human Resources
SAP SuccessFactors,Human Resources
Oracle HCM,Human Resources
Applicant Tracking Systems,Recruitment
ATS,Recruitment
LinkedIn Recruiter,Recruitment
Recruitment Marketing,Recruitment
Employer Branding,Recruitment
Job Description Writing,Recruitment
Resume Screening,Recruitment
Interview Assessment,Recruitment

Project Management,Project Management
Project Planning,Project Management
Project Scheduling,Project Management
Project Coordination,Project Management
Project Execution,Project Management
Project Monitoring,Project Management
Project Documentation,Project Management
Project Risk Management,Project Management
Project Cost Management,Project Management
Project Quality Management,Project Management
Stakeholder Management,Project Management
Stakeholder Communication,Project Management
Resource Management,Project Management
Resource Planning,Project Management
Scope Management,Project Management
Change Control,Project Management
Agile,Project Management
Scrum,Project Management
Kanban,Project Management
Lean Management,Project Management
Waterfall,Project Management
Agile Project Management,Project Management
Sprint Planning,Project Management
Sprint Management,Project Management
Product Backlog Management,Project Management
Backlog Management,Project Management
User Stories,Project Management
Product Management,Product Management
Product Strategy,Product Management
Product Development,Product Management
Product Roadmap,Product Management
Product Lifecycle Management,Product Management
Product Requirements,Product Management
Market Analysis,Business Analysis
Business Analysis,Business Analysis
Business Requirements Analysis,Business Analysis
Requirements Gathering,Business Analysis
Requirements Analysis,Business Analysis
Requirements Management,Business Analysis
Business Process Analysis,Business Analysis
Business Process Mapping,Business Analysis
Process Improvement,Business Analysis
Process Optimization,Business Analysis
Gap Analysis,Business Analysis
SWOT Analysis,Business Analysis
Root Cause Analysis,Business Analysis
Decision Analysis,Business Analysis
Business Intelligence,Business Analysis
Business Reporting,Business Analysis
Business Strategy,Business Analysis
Strategic Planning,Business Analysis
Strategic Thinking,Business Analysis
Competitive Analysis,Business Analysis
Market Research,Business Analysis
Data Driven Decision Making,Business Analysis
Management Consulting,Consulting
Business Consulting,Consulting
Technology Consulting,Consulting
Strategy Consulting,Consulting
Management Strategy,Consulting
Operations Consulting,Consulting
Process Consulting,Consulting
IT Consulting,Consulting
Digital Transformation,Consulting
Transformation Management,Consulting
Client Management,Consulting
Consulting Skills,Consulting
Problem Solving,Consulting
Critical Thinking,Consulting
Analytical Thinking,Consulting


Operations Management,Operations
Business Operations,Operations
Operations Strategy,Operations
Operations Planning,Operations
Operations Analysis,Operations
Process Management,Operations
Process Improvement,Operations
Process Optimization,Operations
Business Process Management,Operations
Business Process Improvement,Operations
Lean Management,Operations
Lean Six Sigma,Operations
Six Sigma,Operations
Quality Management,Operations
Quality Assurance,Operations
Quality Control,Operations
Continuous Improvement,Operations
Operational Excellence,Operations
Performance Management,Operations
Key Performance Indicators,Operations
KPI Management,Operations
Operations Analytics,Operations
Workforce Management,Operations
Resource Planning,Operations
Capacity Planning,Operations
Demand Planning,Supply Chain
Demand Forecasting,Supply Chain
Supply Chain Management,Supply Chain
Supply Chain Planning,Supply Chain
Supply Chain Analytics,Supply Chain
Supply Chain Optimization,Supply Chain
Supply Chain Strategy,Supply Chain
Procurement,Supply Chain
Strategic Procurement,Supply Chain
Procurement Management,Supply Chain
Purchasing,Supply Chain
Vendor Management,Supply Chain
Supplier Management,Supply Chain
Supplier Relationship Management,Supply Chain
Inventory Management,Supply Chain
Inventory Control,Supply Chain
Inventory Planning,Supply Chain
Warehouse Management,Supply Chain
Warehouse Operations,Supply Chain
Warehouse Optimization,Supply Chain
Logistics Management,Logistics
Logistics Planning,Logistics
Transportation Management,Logistics
Transportation Planning,Logistics
Route Optimization,Logistics
Fleet Management,Logistics
Distribution Management,Logistics
Order Management,Logistics
Order Fulfillment,Logistics
Last Mile Delivery,Logistics
Freight Management,Logistics
Shipping Management,Logistics
Import Export Management,Logistics
International Logistics,Logistics
Reverse Logistics,Logistics
Supply Chain Risk Management,Supply Chain
Supply Chain Visibility,Supply Chain
Supply Chain Technology,Supply Chain
Enterprise Resource Planning,Operations
ERP,Operations
SAP ERP,Operations
SAP MM,Supply Chain
SAP PP,Manufacturing
SAP SD,Sales
Oracle ERP,Operations
Microsoft Dynamics 365,Operations
Sales and Operations Planning,Supply Chain
S&OP,Supply Chain
Material Requirements Planning,Manufacturing
MRP,Manufacturing

Mechanical Engineering,Engineering
Mechanical Design,Engineering
Mechanical CAD,Engineering
Computer Aided Design,Engineering
CAD,Engineering
AutoCAD,Engineering
SolidWorks,Engineering
CATIA,Engineering
Creo,Engineering
Siemens NX,Engineering
ANSYS,Engineering
Finite Element Analysis,Engineering
FEA,Engineering
Computational Fluid Dynamics,Engineering
CFD,Engineering
Thermodynamics,Engineering
Fluid Mechanics,Engineering
Machine Design,Engineering
Manufacturing Engineering,Engineering
Production Engineering,Engineering
Industrial Engineering,Engineering
Electrical Engineering,Engineering
Electrical Design,Engineering
Circuit Design,Engineering
Electrical Testing,Engineering
Power Systems,Engineering
Power Electronics,Engineering
Control Systems,Engineering
PLC Programming,Engineering
Programmable Logic Controllers,Engineering
SCADA,Engineering
Industrial Automation,Engineering
Instrumentation,Engineering
Embedded Systems,Engineering
Microcontrollers,Engineering
Arduino,Engineering
Raspberry Pi,Engineering
MATLAB,Engineering
Simulink,Engineering
Electronics Engineering,Engineering
PCB Design,Engineering
Altium Designer,Engineering
KiCad,Engineering
VLSI,Engineering
Verilog,Engineering
VHDL,Engineering
FPGA,Engineering
Embedded C,Engineering
IoT,Engineering
Internet of Things,Engineering
Civil Engineering,Engineering
Structural Engineering,Engineering
Structural Analysis,Engineering
Construction Management,Engineering
Site Management,Engineering
Quantity Surveying,Engineering
Building Information Modeling,Engineering
BIM,Engineering
Revit,Engineering
STAAD.Pro,Engineering
ETABS,Engineering
Primavera P6,Engineering
Project Estimation,Engineering
Surveying,Engineering
Geotechnical Engineering,Engineering
Environmental Engineering,Engineering
Chemical Engineering,Engineering
Process Engineering,Engineering
Process Design,Engineering
Process Simulation,Engineering
AutoCAD Plant 3D,Engineering
Aspen HYSYS,Engineering
Aspen Plus,Engineering
Manufacturing,Manufacturing
Production Management,Manufacturing
Production Planning,Manufacturing
Production Control,Manufacturing
Manufacturing Planning,Manufacturing
Manufacturing Operations,Manufacturing
Quality Control,Manufacturing
Quality Inspection,Manufacturing
Quality Management Systems,Manufacturing
Total Quality Management,Manufacturing
TQM,Manufacturing
Six Sigma,Manufacturing
Lean Manufacturing,Manufacturing
Lean Production,Manufacturing
Kaizen,Manufacturing
5S,Manufacturing
Root Cause Analysis,Manufacturing
Failure Mode and Effects Analysis,Manufacturing
FMEA,Manufacturing
Statistical Process Control,Manufacturing
SPC,Manufacturing
Computer Integrated Manufacturing,Manufacturing
CNC Programming,Manufacturing
CNC Machining,Manufacturing
Computer Numerical Control,Manufacturing
Robotics,Manufacturing
Industrial Robotics,Manufacturing
Robot Programming,Manufacturing
Additive Manufacturing,Manufacturing
3D Printing,Manufacturing
Digital Manufacturing,Manufacturing
Predictive Maintenance,Manufacturing
Preventive Maintenance,Manufacturing
Maintenance Management,Manufacturing
Total Productive Maintenance,Manufacturing
TPM,Manufacturing

Healthcare Management,Healthcare
Healthcare Administration,Healthcare
Hospital Administration,Healthcare
Healthcare Operations,Healthcare
Healthcare Analytics,Healthcare
Healthcare Data Analysis,Healthcare
Clinical Data Analysis,Healthcare
Clinical Research,Healthcare
Clinical Trials,Healthcare
Clinical Trial Management,Healthcare
Medical Research,Healthcare
Medical Writing,Healthcare
Medical Coding,Healthcare
Medical Billing,Healthcare
Medical Transcription,Healthcare
Electronic Health Records,Healthcare
EHR,Healthcare
Electronic Medical Records,Healthcare
EMR,Healthcare
Health Information Management,Healthcare
Health Informatics,Healthcare
Medical Informatics,Healthcare
Public Health,Healthcare
Epidemiology,Healthcare
Biostatistics,Healthcare
Bioinformatics,Life Sciences
Computational Biology,Life Sciences
Genomics,Life Sciences
Proteomics,Life Sciences
Molecular Biology,Life Sciences
Cell Biology,Life Sciences
Microbiology,Life Sciences
Biotechnology,Life Sciences
Biomedical Engineering,Engineering
Medical Device Development,Healthcare
Medical Device Design,Healthcare
Medical Device Testing,Healthcare
Medical Imaging,Healthcare
Medical Image Analysis,Healthcare
Radiology,Healthcare
Digital Health,Healthcare
Health Technology,Healthcare
HealthTech,Healthcare
Telemedicine,Healthcare
Telehealth,Healthcare
Health Insurance,Healthcare
Healthcare Consulting,Healthcare
Healthcare Quality Management,Healthcare
Patient Safety,Healthcare
Healthcare Compliance,Healthcare
Healthcare Regulatory Affairs,Healthcare
Pharmacovigilance,Healthcare
Drug Safety,Healthcare
Clinical Data Management,Healthcare
Clinical Data Science,Healthcare
Medical Data Management,Healthcare
Laboratory Management,Healthcare
Laboratory Information Systems,Healthcare
LIMS,Healthcare
Medical Laboratory Technology,Healthcare
Medical Device Regulation,Healthcare
FDA Regulations,Healthcare
Clinical Research Management,Healthcare
Good Clinical Practice,Healthcare
GCP,Healthcare
Good Laboratory Practice,Healthcare
GLP,Healthcare
Good Manufacturing Practice,Healthcare
GMP,Healthcare
Pharmaceutical Manufacturing,Life Sciences
Pharmaceutical Research,Life Sciences
Drug Discovery,Life Sciences
Drug Development,Life Sciences
Pharmaceutical Analysis,Life Sciences
Pharmacology,Life Sciences
Toxicology,Life Sciences
Regulatory Affairs,Life Sciences
Medical Affairs,Life Sciences

Teaching,Education
Teaching Skills,Education
Classroom Management,Education
Lesson Planning,Education
Curriculum Development,Education
Curriculum Design,Education
Instructional Design,Education
Educational Technology,Education
EdTech,Education
E Learning,Education
Online Teaching,Education
Virtual Teaching,Education
Distance Learning,Education
Blended Learning,Education
Learning Management Systems,Education
LMS,Education
Moodle,Education
Canvas LMS,Education
Blackboard LMS,Education
Google Classroom,Education
Assessment Design,Education
Student Assessment,Education
Educational Assessment,Education
Academic Assessment,Education
Examination Management,Education
Student Counseling,Education
Academic Counseling,Education
Career Counseling,Education
Career Guidance,Education
Student Engagement,Education
Student Mentoring,Education
Mentoring,Education
Academic Research,Education
Educational Research,Education
Research Methodology,Education
Instructional Technology,Education
Learning Analytics,Education
Educational Data Analysis,Education
Training and Development,Training
Corporate Training,Training
Technical Training,Training
Soft Skills Training,Training
Employee Training,Training
Training Needs Analysis,Training
Training Program Development,Training
Training Delivery,Training
Workshop Facilitation,Training
Facilitation Skills,Training
Coaching,Training
Professional Development,Training
Learning and Development,Training
Content Development,Education
Educational Content Creation,Education
E Learning Content Development,Education
Course Development,Education
Course Design,Education
Online Course Creation,Education
Educational Video Creation,Education
Presentation Skills,Education
Public Speaking,Education
Subject Matter Expertise,Education
Academic Writing,Education
Research Writing,Education
